2019-10-15 14:39:51 [org.springframework.context.support.ClassPathXmlApplicationContext]-[INFO] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@14c82493: startup date [Tue Oct 15 14:39:51 CST 2019]; root of context hierarchy
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'sameParameterMatchRuleProcessSevice': replacing [Generic bean: class [com.fhtpay.task.service.suspicious.SameParameterMatchRuleProcessSevice]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.suspicious.SameParameterMatchRuleProcessSevice]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'messageSend': replacing [Generic bean: class [com.fhtpay.task.service.messageservice.MessageSendImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.messageservice.MessageSendImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'sendMessageToUser': replacing [Generic bean: class [com.fhtpay.task.service.messageservice.SendWarnMessageToUser]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.messageservice.SendWarnMessageToUser]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'sendTransWarnToUser': replacing [Generic bean: class [com.fhtpay.task.service.emailservice.warn.SendTransWarnToUser]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.emailservice.warn.SendTransWarnToUser]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'refundReturnImpl': replacing [Generic bean: class [com.fhtpay.task.service.refundReturn.RefundReturnImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.refundReturn.RefundReturnImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'refundReturnToUser': replacing [Generic bean: class [com.fhtpay.task.service.refundReturn.RefundReturnToUser]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.refundReturn.RefundReturnToUser]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'callbackEmailSend': replacing [Generic bean: class [com.fhtpay.task.service.emailservice.callback.EmailSendImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.emailservice.callback.EmailSendImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'sendTransCallbackToMerchant': replacing [Generic bean: class [com.fhtpay.task.service.emailservice.callback.SendTransCallbackToCardHolderImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.emailservice.callback.SendTransCallbackToCardHolderImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.xml.XmlBeanDefinitionReader]-[INFO] Loading XML bean definitions from file [E:\workspace\cldTask\bin\springconfig\spring-taskManage.xml]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'taskManageDao': replacing [Generic bean: class [org.mybatis.spring.MapperFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-taskManage.xml]] with [Generic bean: class [org.mybatis.spring.MapperFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-taskManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'taskManageService': replacing [Generic bean: class [com.fhtpay.task.service.TaskManageServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-taskManage.xml]] with [Generic bean: class [com.fhtpay.task.service.TaskManageServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-taskManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.xml.XmlBeanDefinitionReader]-[INFO] Loading XML bean definitions from file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'transactionManageDao': replacing [Generic bean: class [org.mybatis.spring.MapperFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [org.mybatis.spring.MapperFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'transactionManageService': replacing [Generic bean: class [com.fhtpay.transaction.serviceimpl.TransactionManageServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.transaction.serviceimpl.TransactionManageServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'merchantAccountCashByTN': replacing [Generic bean: class [com.fhtpay.task.service.MerchantAccountCashByTN]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.MerchantAccountCashByTN]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'merchantAccountCashBySigned': replacing [Generic bean: class [com.fhtpay.task.service.MerchantAccountCashBySigned]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.MerchantAccountCashBySigned]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'merchantAccountCashBySendGoods': replacing [Generic bean: class [com.fhtpay.task.service.MerchantAccountCashBySendGoods]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.MerchantAccountCashBySendGoods]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'sendTransSuccessToCardHolder': replacing [Generic bean: class [com.fhtpay.task.service.emailservice.SendTransSuccessToCardHolder]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.emailservice.SendTransSuccessToCardHolder]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-15 14:39:53 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'sendTransSuccessToMerchant': replacing [Generic bean: class [com.fhtpay.task.service.emailservice.SendTransSuccessToMerchant]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.emailservice.SendTransSuccessToMerchant]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
